
# Original

### 1) Tf-idf Vectorizer
   NAME                   ,     PRECISION       ,    RECALL           ,     F1 SCORE        ,   ACCURACY
['MLPClassifier', 0.3944043321299639, 0.2177379172894868, 0.2805778491171749, 0.8002495766111062]
--------
## Middle Sentences
Until now we were taking into consideration the whole sentence. But on closer inspection most the connection related words appear near of BR1 and BR2, mostly in-between them and just before and just after. So this time we will be only considering words in between the entities taken into consideration and some words before and after the occurence of it say a window of size 3.

### 1. Tf-idf Vectorizer
['BernoulliNB', 0.38420703384207033, 0.2884902840059791, 0.32953898690950484, 0.7899991086549604]
['RandomForestClassifier', 0.6986754966887417, 0.10513203786746388, 0.18276310090948464, 0.831803191015242]
['BaggingClassifier', 0.5584970111016225, 0.32585949177877427, 0.4115796098174953, 0.8333184775826723]
['ExtraTreesClassifier', 0.5878378378378378, 0.08669656203288491, 0.1511072514112028, 0.825742044745521]
['DecisionTreeClassifier', 0.40458015267175573, 0.369706028898854, 0.3863577193439209, 0.7899099741509938]
['CalibratedClassifierCV', 0.5843230403800475, 0.12257100149476831, 0.20263591433278416, 0.8274356003208843]
['SGDClassifier', 0.6497890295358649, 0.07673143996013951, 0.1372549019607843, 0.8274356003208843]
['MLPClassifier', 0.4454463480613165, 0.24613851519681115, 0.3170731707317073, 0.8103217755593191]
### 2. Word2Vec

#### a. xmlOriginalSen
['BernoulliNB', 0.3507223113964687, 0.4354758345789736, 0.38853078461880414, 0.7547909795881986]
['RandomForestClassifier', 0.6909090909090909, 0.05680119581464873, 0.10497237569060773, 0.8267225242891524]
['BaggingClassifier', 0.6059322033898306, 0.07125062282012955, 0.1275078020508248, 0.825563775737588]
['ExtraTreesClassifier', 0.5263157894736842, 0.07473841554559044, 0.13089005235602094, 0.822444068098761]
['DecisionTreeClassifier', 0.2681564245810056, 0.23916292974588937, 0.25283118251250986, 0.7471254122470808]
['CalibratedClassifierCV', 0.45794392523364486, 0.024414549078226207, 0.04635761589403973, 0.8203048400035654]
['SGDClassifier', 0.5107913669064749, 0.03537618335824614, 0.06616961789375583, 0.8213744540511632]
['KNeighborsClassifier', 0.31884765625, 0.32536123567513703, 0.32207151664611594, 0.7549692485961316]
['MLPClassifier', 0.33948339483394835, 0.3208769307424016, 0.32991803278688525, 0.7668241376236741]
#### b. xmlReplaceBR
['BernoulliNB', 0.3541383989145183, 0.3901345291479821, 0.3712660028449502, 0.7636152954808807]
